ID,Name
0,
1,
2,
3,
4,Tarnished's Furled Finger - Create Summon Sign
5,
6,
7,Finger Severer - Return to World
8,
9,
10,Duelist's Furled Finger - Create Invasion Sign
11,Bloody Finger - Attempt Invasion
12,
13,
14,
15,
16,Festering/Recusant Finger - Attempt Invasion
17,
18,
20,
21,
22,
23,
24,
25,
26,Stake of Marika
27,
28,
29,
30,HKS - Unk Throw Def Invalid
31,Behavior - Counter Frames
32,HKS - Unk Jump Throw Def Invalid
33,
35,
36,
37,
38,AI Observe - Throw Trigger
39,
40,
41,
46,
50,
51,
52,
53,
54,
55,
60,
70,Blight Effect
71,
72,
73,
74,
79,AI Observe - Unknown
80,
81,Spectral Steed Whistle
84,
86,
87,
88,
89,HKS - Unk Toughness Increase
90,
91,
92,
93,
94,
95,
96,
97,
98,HKS - Unk Is Jump Attacking
99,
100,Grace - Restore HP
101,Grace - Remove All Status
102,Grace - Remove Hemorrhage
103,Grace - Remove Poison
104,Grace - Remove Scarlet Rot
105,Grace - Remove Frostbite
106,Grace - Reload
107,Grace - Remove Madness
108,Grace - Remove Sleep
109,Grace - Remove Blight
110,
111,
112,
113,
114,
115,
116,
117,Unknown - Remove Madness
118,Unknown - Remove Sleep
119,
120,
125,Torrent
126,Torrent
127,
128,
129,
130,
131,HKS - Torrent - Unk Ride Attack Move Cancel
132,HKS - Recovery Window - Heavy Attack
133,HKS - Switch Heavy to Heavy Sub
134,HKS - Switch Heavy Sub to Heavy
135,HKS - Light Sub Start Type 0
136,HKS - Light Sub Start Type 1
137,HKS - Light Sub Start Type 2
138,HKS - Light Sub Start Type 3
140,HKS - Is Jumping
141,HKS - Unk Jump Fall Default
142,HKS - Unk Jump
143,HKS - Unk Jump
144,HKS - Unk Jump
145,HKS - Is Falling
146,HKS - Swing Window
147,
150,
151,
152,
160,
161,
170,HKS - Unk Unable To Cancel Guard
171,HKS - Unk Guard Toughness Increase
172,HKS - Guard Start Type
173,HKS - Guard Counter - End
174,HKS - Guard Counter - Window
175,HKS - Unk Guard Break & Block Animation Resist
176,HKS - Unk Guard Block Animation Resist
180,
181,
182,
183,Spiritspring - In Range
184,
185,Spiritspring - Fall Immune
186,Spiritspring - Is Jumping
190,
191,
200,
201,
202,
210,
211,
212,
220,
290,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
350,
351,
352,
360,
361,
362,
370,
371,
372,
373,
380,
381,
382,
390,
391,
392,
401,
402,
403,
404,
407,
412,
415,Torch Effect
416,Sentry's Torch - Effect
417,
420,Oil Pot
425,Slug - Bullet - Slow
430,
435,
436,
437,
438,
440,
441,
442,
445,
450,
451,
455,
460,Beast-Repellent Torch Effect
461,
462,
463,
467,Swarm Pot [Cycle]
468,
469,
470,Gravity - Pull towards Caster
471,
472,
473,Swarm Pot
